epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
25,2020-06-20,44,MS,Bela Vista,5002100,city,2,8.12051,0,0,0,0.0,24629,False,False
25,2020-06-20,33,MS,Bodoquena,5002159,city,1,12.69841,0,0,0,0.0,7875,False,False
25,2020-06-20,44,MS,Bonito,5002209,city,66,300.32763,0,0,0,0.0,21976,False,False
25,2020-06-20,47,MS,Brasilândia,5002308,city,16,134.77089,0,2,0,0.125,11872,False,False
25,2020-06-20,29,MS,Caarapó,5002407,city,12,39.76934,1,0,0,0.0,30174,False,False
25,2020-06-20,37,MS,Camapuã,5002605,city,3,21.88024,0,0,0,0.0,13711,False,False
25,2020-06-20,99,MS,Campo Grande,5002704,city,1142,127.45792,75,8,0,0.007,895982,False,False
25,2020-06-20,12,MS,Caracol,5002803,city,12,196.20667,0,0,0,0.0,6116,False,False
25,2020-06-20,7,MS,Cassilândia,5002902,city,3,13.67428,0,0,0,0.0,21939,False,False
25,2020-06-20,77,MS,Chapadão do Sul,5002951,city,114,452.05805,6,0,0,0.0,25218,False,False
25,2020-06-20,18,MS,Corguinho,5003108,city,1,16.8152,0,0,0,0.0,5947,False,False
25,2020-06-20,75,MS,Corumbá,5003207,city,191,171.40037,10,3,1,0.0157,111435,False,False
25,2020-06-20,22,MS,Costa Rica,5003256,city,21,100.85002,0,0,0,0.0,20823,False,False
25,2020-06-20,69,MS,Coxim,5003306,city,10,29.81248,0,0,0,0.0,33543,False,False
25,2020-06-20,35,MS,Deodápolis,5003454,city,29,224.38873,1,1,0,0.0345,12924,False,False
25,2020-06-20,35,MS,Douradina,5003504,city,93,1569.88521,0,1,0,0.0108,5924,False,False
25,2020-06-20,85,MS,Dourados,5003702,city,1807,810.49926,86,10,0,0.0055,222949,False,False
25,2020-06-20,36,MS,Fátima do Sul,5003801,city,210,1094.37699,0,0,0,0.0,19189,False,False
25,2020-06-20,36,MS,Glória de Dourados,5004007,city,18,180.63221,0,0,0,0.0,9965,False,False
25,2020-06-20,47,MS,Guia Lopes da Laguna,5004106,city,252,2546.74078,0,0,0,0.0,9895,False,False
25,2020-06-20,12,MS,Iguatemi,5004304,city,5,31.0984,-2,1,0,0.2,16078,False,False
25,2020-06-20,5,MS,Inocência,5004403,city,0,,0,0,0,0.0,7610,False,False
25,2020-06-20,34,MS,Itaporã,5004502,city,95,382.46306,1,3,0,0.0316,24839,False,False
25,2020-06-20,23,MS,Itaquiraí,5004601,city,13,61.48898,0,1,1,0.0769,21142,False,False
25,2020-06-20,27,MS,Ivinhema,5004700,city,25,107.81904,1,0,0,0.0,23187,False,False
25,2020-06-20,45,MS,Jardim,5005004,city,49,187.76105,0,0,0,0.0,26097,False,False
25,2020-06-20,49,MS,Jateí,5005103,city,1,24.83238,0,0,0,0.0,4027,False,False
25,2020-06-20,4,MS,Juti,5005152,city,2,29.79738,0,0,0,0.0,6712,False,False
25,2020-06-20,64,MS,Ladário,5005202,city,26,111.43972,0,0,0,0.0,23331,False,False
25,2020-06-20,19,MS,Laguna Carapã,5005251,city,2,27.24424,1,0,0,0.0,7341,False,False
25,2020-06-20,26,MS,Maracaju,5005400,city,16,33.98254,6,0,0,0.0,47083,False,False
25,2020-06-20,66,MS,Miranda,5005608,city,2,7.13954,0,0,0,0.0,28013,False,False
25,2020-06-20,65,MS,Mundo Novo,5005681,city,30,163.34531,6,0,0,0.0,18366,False,False
25,2020-06-20,70,MS,Naviraí,5005707,city,66,120.26677,4,0,0,0.0,54878,False,False
